value,child_column,constraint_type,parent_column
children(:picks).parent(:players).mysum(:bp_value),teams:value_picked,calc_column,
,picks:team,foreign_key,teams:team
children(:picks).parent(:players).position('1B').size,teams:1B,calc_column,
,players:team,virtual_column,picks:team
weather == 'Hot',people2:favorite_hot_city,foreign_key,cities:city
children(:picks).parent(:players).position('3B').size,teams:3B,calc_column,
children(:picks).parent(:players).position('SP').size,teams:SP,calc_column,
!team,picks:player,foreign_key,players:name
children(:picks).parent(:players).size,teams:players,calc_column,
name + ' ' + name,people:double_name,calc_column,
children(:picks).parent(:players).position('OF').size,teams:OF,calc_column,
,players:name,foreign_key,picks:player
number.to_i,picks:foo,sort_column,foo:foo
,people:city,foreign_key,cities:city
,people:weather,virtual_column,cities:weather
!team,unpicked_players:foo,virtual_table,players:foo
